Time,EGO_GPSdirection,EGO_latGPS,EGO_longGPS,EGO_longSpeed,EGO_longAccel,EGO_latAccel,EGO_SwAngle,EGO_SwRotSpeed,OBJECT_0001_Unique_ID,OBJECT_0001_Length,OBJECT_0001_Width,OBJECT_0001_Height,OBJECT_0001_LongPos,OBJECT_0001_LatPos,OBJECT_0001_LongVel,OBJECT_0001_LatVel,OBJECT_0001_LongAccel,OBJECT_0001_ObstacleClass
1.4,-65,48.8733985903,2.29648974598,1.77045583725,1.64996922016,0.00416058860719,0.0448695532978,0.0137463118881,45,4.326,1.773,1.494,5,0,0,0,0.00372500508092,1
1.45,-65,48.8733988286,2.29648899757,1.8527777195,1.64996612072,0.00461353175342,0.0454311743379,0.0112564777955,45,4.326,1.773,1.494,5,0,0,0,0.00416058860719,1
1.5,-65,48.8733990768,2.2964882175,1.9349411726,1.64996290207,0.0050798538141,0.0458651445806,0.00871472340077,45,4.326,1.773,1.494,5,0,0,0,0.00461353175342,1
1.55,-65,48.8733993415,2.29648738518,2.01895928383,1.64995956421,0.0055742659606,0.046227414161,0.00711436197162,45,4.326,1.773,1.494,5,0,0,0,0.0050798538141,1
1.6,-65,48.8733996116,2.29648653579,2.10133886337,1.64995598793,0.00605701468885,0.0463696122169,0.00284802983515,45,4.326,1.773,1.494,5,0,0,0,0.0055742659606,1
1.65,-65,48.8733998917,2.2964856545,2.18359136581,1.64995229244,0.00654727499932,0.0464178360999,0.000967342988588,45,4.326,1.773,1.494,5,0,0,0,0.00605701468885,1
1.7,-65,48.8734001825,2.29648473907,2.26592373848,1.64994847775,0.00703938351944,0.0463458709419,-0.00144219084177,45,4.326,1.773,1.494,5,0,0,0,0.00654727499932,1
1.75,-65,48.8734004828,2.29648379363,2.34798073769,1.64994454384,0.00752441911027,0.0461371727288,-0.00419640587643,45,4.326,1.773,1.494,5,0,0,0,0.00703938351944,1
1.8,-65,48.8734007953,2.29648280924,2.4305126667,1.64994037151,0.00800781976432,0.0458232201636,-0.00627633789554,45,4.326,1.773,1.494,5,0,0,0,0.00752441911027,1
1.85,-65,48.8734011162,2.29648179796,2.51252770424,1.64993619919,0.00846969895065,0.0453537665308,-0.00944426003844,45,4.326,1.773,1.494,5,0,0,0,0.00800781976432,1
1.9,-65,48.8734014562,2.29648072603,2.59664082527,1.64993178844,0.00894214306027,0.0448316782713,-0.0102410456166,45,4.326,1.773,1.494,5,0,0,0,0.00846969895065,1
