Time (sec);X Position (m);Y Position (m);Z Position (m);Roll Position (rad);Pitch Position (rad);Yaw Position (rad)
0.2225000000;-0.0026950334;0.0036075377;-0.0084423697;-0.0083036330;0.0155082251;-0.0023843182
0.2250000000;-0.0027226354;0.0036447153;-0.0085358433;-0.0070336311;0.0147132395;-0.0010913271
0.2275000000;-0.0027497988;0.0036818283;-0.0086279888;-0.0063293872;0.0142408249;0.0009931672
0.2300000000;-0.0027765517;0.0037188680;-0.0087190228;-0.0065240692;0.0140919096;0.0032614729
0.2325000000;-0.0028029068;0.0037558281;-0.0088091049;-0.0077338174;0.0140822842;0.0050771972
0.2350000000;-0.0028288579;0.0037927047;-0.0088982092;-0.0095831414;0.0140300285;0.0062390454
0.2375000000;-0.0028543772;0.0038294960;-0.0089861502;-0.0114173829;0.0139151334;0.0069152831
0.2400000000;-0.0028794160;0.0038662030;-0.0090727546;-0.0128504919;0.0138174050;0.0071929646
0.2425000000;-0.0029039179;0.0039028301;-0.0091580104;-0.0140535134;0.0137686764;0.0069428148
0.2450000000;-0.0029278428;0.0039393819;-0.0092420703;-0.0154244224;0.0137612518;0.0060679492
0.2475000000;-0.0029511865;0.0039758567;-0.0093251472;-0.0170476306;0.0138123940;0.0046135681
0.2500000000;-0.0029739790;0.0040122475;-0.0094074198;-0.0185487080;0.0138923627;0.0026503325
0.2525000000;-0.0029962631;0.0040485509;-0.0094890041;-0.0193579903;0.0139040381;0.0002065040
0.2550000000;-0.0030180694;0.0040847748;-0.0095699488;-0.0191202397;0.0137960254;-0.0026585492
0.2575000000;-0.0030394001;0.0041209377;-0.0096501965;-0.0179720200;0.0135879010;-0.0057567627
0.2600000000;-0.0030602274;0.0041570627;-0.0097295592;-0.0163929598;0.0133388692;-0.0087578816
0.2625000000;-0.0030805047;0.0041931709;-0.0098077758;-0.0147228693;0.0131564726;-0.0113588689
0.2650000000;-0.0031001833;0.0042292756;-0.0098846295;-0.0129700087;0.0131717782;-0.0135347533
0.2675000000;-0.0031192236;0.0042653813;-0.0099600681;-0.0111786386;0.0134520232;-0.0154505239
0.2700000000;-0.0031375990;0.0043014887;-0.0100342603;-0.0097020692;0.0139179507;-0.0171374254
0.2725000000;-0.0031552934;0.0043376003;-0.0101075189;-0.0088970049;0.0143844775;-0.0185378289
0.2750000000;-0.0031722956;0.0043737205;-0.0101801234;-0.0087301652;0.0146629742;-0.0198566583
0.2775000000;-0.0031885932;0.0044098526;-0.0102521853;-0.0088899284;0.0146383290;-0.0214873135
0.2800000000;-0.0032041662;0.0044459941;-0.0103236715;-0.0091658736;0.0143891988;-0.0234506353
0.2825000000;-0.0032189875;0.0044821385;-0.0103945385;-0.0095697510;0.0141875763;-0.0252360314
0.2850000000;-0.0032330296;0.0045182815;-0.0104648327;-0.0102349975;0.0142521202;-0.0261981824
0.2875000000;-0.0032462752;0.0045544252;-0.0105346874;-0.0112658561;0.0145731471;-0.0259033160
0.2900000000;-0.0032587247;0.0045905737;-0.0106042705;-0.0125499555;0.0150102035;-0.0243220712
0.2925000000;-0.0032703975;0.0046267276;-0.0106737673;-0.0137705612;0.0154229667;-0.0218451314
0.2950000000;-0.0032813241;0.0046628843;-0.0107434089;-0.0147332619;0.0156765337;-0.0190174699
0.2975000000;-0.0032915391;0.0046990441;-0.0108134885;-0.0156173042;0.0156370820;-0.0163055805
0.3000000000;-0.0033010785;0.0047352160;-0.0108843182;-0.0167434666;0.0152036814;-0.0141210736
0.3025000000;-0.0033099793;0.0047714141;-0.0109561476;-0.0181596577;0.0143783147;-0.0127574563
0.3050000000;-0.0033182765;0.0048076501;-0.0110291107;-0.0196580267;0.0133547623;-0.0121840086
0.3075000000;-0.0033259970;0.0048439286;-0.0111032434;-0.0210301090;0.0124218219;-0.0121286330
0.3100000000;-0.0033331507;0.0048802476;-0.0111785486;-0.0220401585;0.0116637169;-0.0123550044
0.3125000000;-0.0033397248;0.0049166007;-0.0112550377;-0.0223919087;0.0108681028;-0.0127640871
0.3150000000;-0.0033456880;0.0049529798;-0.0113326976;-0.0220687557;0.0098091155;-0.0133251515
0.3175000000;-0.0033510015;0.0049893767;-0.0114114119;-0.0215092193;0.0084970226;-0.0139641742
0.3200000000;-0.0033556305;0.0050257830;-0.0114909477;-0.0211572787;0.0071272592;-0.0145220032
0.3225000000;-0.0033595499;0.0050621900;-0.0115710597;-0.0210238365;0.0058982192;-0.0147871842
0.3250000000;-0.0033627462;0.0050985906;-0.0116516303;-0.0208633800;0.0049366146;-0.0145183327
0.3275000000;-0.0033652178;0.0051349816;-0.0117327255;-0.0205928486;0.0043396195;-0.0135524904
0.3300000000;-0.0033669757;0.0051713647;-0.0118145338;-0.0203638472;0.0041775863;-0.0120215115
0.3325000000;-0.0033680463;0.0052077447;-0.0118972322;-0.0203828896;0.0044839955;-0.0104346079
0.3350000000;-0.0033684698;0.0052441254;-0.0119808705;-0.0208131719;0.0052518765;-0.0094713390
0.3375000000;-0.0033682858;0.0052805077;-0.0120653736;-0.0217199955;0.0063285605;-0.0095292808
0.3400000000;-0.0033675158;0.0053168915;-0.0121506388;-0.0230844604;0.0073496558;-0.0103750885
0.3425000000;-0.0033661583;0.0053532768;-0.0122365695;-0.0248845665;0.0079054528;-0.0112949054
0.3450000000;-0.0033641965;0.0053896619;-0.0123229861;-0.0270913584;0.0078207018;-0.0116366056
0.3475000000;-0.0033616086;0.0054260404;-0.0124095728;-0.0296063278;0.0073021187;-0.0112633579
0.3500000000;-0.0033583731;0.0054624004;-0.0124959770;-0.0321644098;0.0067882094;-0.0104617452
0.3525000000;-0.0033544719;0.0054987275;-0.0125819577;-0.0343761646;0.0065872675;-0.0094223608
0.3550000000;-0.0033498939;0.0055350119;-0.0126674611;-0.0360432661;0.0066947041;-0.0080378323
0.3575000000;-0.0033446424;0.0055712537;-0.0127526017;-0.0373318951;0.0069654243;-0.0061886654
0.3600000000;-0.0033387407;0.0056074610;-0.0128375622;-0.0385407358;0.0073397897;-0.0038424877
0.3625000000;-0.0033322246;0.0056436417;-0.0129224863;-0.0397550561;0.0079062519;-0.0009661249
0.3650000000;-0.0033251285;0.0056797983;-0.0130074638;-0.0406522805;0.0088302177;0.0023181790
0.3675000000;-0.0033174715;0.0057159312;-0.0130925853;-0.0406923125;0.0101599043;0.0057031838
0.3700000000;-0.0033092491;0.0057520404;-0.0131779402;-0.0397367148;0.0117369196;0.0089442757
0.3725000000;-0.0033004355;0.0057881229;-0.0132635264;-0.0382901359;0.0134217405;0.0119487251
0.3750000000;-0.0032909976;0.0058241677;-0.0133491776;-0.0367877824;0.0152804471;0.0146537036
0.3775000000;-0.0032809078;0.0058601580;-0.0134345889;-0.0349912581;0.0173855352;0.0169424372
0.3800000000;-0.0032701421;0.0058960790;-0.0135194022;-0.0325085367;0.0195074126;0.0187178803
0.3825000000;-0.0032586731;0.0059319232;-0.0136032710;-0.0295871145;0.0211586930;0.0200171597
0.3850000000;-0.0032464703;0.0059676922;-0.0136858805;-0.0269936289;0.0219573205;0.0210096986
0.3875000000;-0.0032335115;0.0060033939;-0.0137669507;-0.0252362679;0.0218779668;0.0218345509
0.3900000000;-0.0032197926;0.0060390379;-0.0138462524;-0.0241446152;0.0211787642;0.0224938466
0.3925000000;-0.0032053257;0.0060746304;-0.0139236507;-0.0232280618;0.0201619396;0.0230436180
0.3950000000;-0.0031901347;0.0061101721;-0.0139991611;-0.0222746287;0.0190494359;0.0236665858
0.3975000000;-0.0031742575;0.0061456594;-0.0140729602;-0.0213914248;0.0180324160;0.0243731276
0.4000000000;-0.0031577462;0.0061810837;-0.0141452919;-0.0205348792;0.0172846688;0.0249070016
0.4025000000;-0.0031406535;0.0062164279;-0.0142163306;-0.0193639062;0.0168949622;0.0250748251
0.4050000000;-0.0031230145;0.0062516671;-0.0142861634;-0.0176881810;0.0168899403;0.0249259499
0.4075000000;-0.0031048388;0.0062867747;-0.0143549070;-0.0157574863;0.0172766002;0.0245744589
0.4100000000;-0.0030861146;0.0063217320;-0.0144227882;-0.0139290665;0.0179659104;0.0242121079
0.4125000000;-0.0030668213;0.0063565339;-0.0144900947;-0.0122816364;0.0187615154;0.0242537277
0.4150000000;-0.0030469446;0.0063911867;-0.0145570897;-0.0105873312;0.0194543590;0.0250846362
0.4175000000;-0.0030264817;0.0064257009;-0.0146239712;-0.0084370127;0.0198341177;0.0268001093
0.4200000000;-0.0030054340;0.0064600847;-0.0146908675;-0.0055590459;0.0196926530;0.0292913358
0.4225000000;-0.0029837990;0.0064943450;-0.0147578679;-0.0021525587;0.0189451561;0.0322656489
0.4250000000;-0.0029615647;0.0065284930;-0.0148250566;0.0013179481;0.0177111038;0.0352253379
0.4275000000;-0.0029387060;0.0065625474;-0.0148924917;0.0046334204;0.0162356543;0.0375761223
0.4300000000;-0.0029151890;0.0065965276;-0.0149601530;0.0080161843;0.0147762918;0.0386693604
0.4325000000;-0.0028909847;0.0066304473;-0.0150279436;0.0118353098;0.0135207677;0.0380507185
0.4350000000;-0.0028660705;0.0066643142;-0.0150957556;0.0161295533;0.0125224713;0.0358789621
0.4375000000;-0.0028404188;0.0066981359;-0.0151635401;0.0205742743;0.0117128161;0.0328747436
0.4400000000;-0.0028139940;0.0067319213;-0.0152313193;0.0248913582;0.0109565705;0.0299372809
0.4425000000;-0.0027867683;0.0067656765;-0.0152991359;0.0290036980;0.0101005732;0.0278174282
0.4450000000;-0.0027587364;0.0067994011;-0.0153669864;0.0328002602;0.0090677808;0.0268244650
0.4475000000;-0.0027299126;0.0068330910;-0.0154347933;0.0360541533;0.0078538488;0.0267919907
0.4500000000;-0.0027003146;0.0068667451;-0.0155024276;0.0386559663;0.0063936433;0.0273455500
0.4525000000;-0.0026699505;0.0069003684;-0.0155697418;0.0407657994;0.0046448911;0.0280539603
0.4550000000;-0.0026388221;0.0069339686;-0.0156365637;0.0426924612;0.0028123907;0.0285454559
0.4575000000;-0.0026069420;0.0069675485;-0.0157026697;0.0446791610;0.0012668672;0.0288257211
0.4600000000;-0.0025743428;0.0070011024;-0.0157678174;0.0467491082;0.0002074316;0.0292927134
0.4625000000;-0.0025410634;0.0070346215;-0.0158318676;0.0487624879;-0.0005185704;0.0302299849
0.4650000000;-0.0025071267;0.0070681047;-0.0158949019;0.0506187135;-0.0012181336;0.0314709088
0.4675000000;-0.0024725330;0.0071015640;-0.0159572084;0.0522770241;-0.0020326647;0.0326325170
0.4700000000;-0.0024372700;0.0071350155;-0.0160191041;0.0537298642;-0.0029120860;0.0335214688
0.4725000000;-0.0024013269;0.0071684645;-0.0160807524;0.0550824502;-0.0037977708;0.0341887541
0.4750000000;-0.0023647000;0.0072018992;-0.0161421912;0.0565184229;-0.0046767033;0.0345936014
0.4775000000;-0.0023273868;0.0072352983;-0.0162035228;0.0581740955;-0.0055380550;0.0344970395
0.4800000000;-0.0022893785;0.0072686454;-0.0162649877;0.0600639911;-0.0063685862;0.0338013093
0.4825000000;-0.0022506619;0.0073019388;-0.0163268340;0.0620816171;-0.0071402687;0.0325704666
0.4850000000;-0.0022112258;0.0073351904;-0.0163891721;0.0639679614;-0.0077937375;0.0307178797
0.4875000000;-0.0021710678;0.0073684172;-0.0164519655;0.0653328582;-0.0082721633;0.0281871449
0.4900000000;-0.0021301930;0.0074016340;-0.0165151303;0.0659781925;-0.0085407569;0.0253854672
0.4925000000;-0.0020886091;0.0074348559;-0.0165786523;0.0661414485;-0.0085409685;0.0230118266
0.4950000000;-0.0020463255;0.0074681009;-0.0166426396;0.0662241662;-0.0082073107;0.0214673693
0.4975000000;-0.0020033556;0.0075013868;-0.0167072608;0.0663857934;-0.0075856065;0.0207286245
0.5000000000;-0.0019597184;0.0075347236;-0.0167726073;0.0665497106;-0.0068597535;0.0207611885
0.5025000000;-0.0019154378;0.0075681099;-0.0168386322;0.0666896799;-0.0062485829;0.0217105137
0.5050000000;-0.0018705402;0.0076015393;-0.0169052636;0.0668263838;-0.0059266757;0.0234784102
0.5075000000;-0.0018250431;0.0076350092;-0.0169725425;0.0668000173;-0.0059807676;0.0253446021
0.5100000000;-0.0017789466;0.0076685233;-0.0170405767;0.0663019629;-0.0063429876;0.0264501073
0.5125000000;-0.0017322386;0.0077020872;-0.0171093808;0.0651671560;-0.0067993037;0.0265373154
0.5150000000;-0.0016849070;0.0077357060;-0.0171788253;0.0636527540;-0.0071711124;0.0259153644
0.5175000000;-0.0016369410;0.0077693843;-0.0172487252;0.0623016254;-0.0074805283;0.0249941304
0.5200000000;-0.0015883185;0.0078031254;-0.0173189493;0.0613967523;-0.0078488940;0.0241184390
0.5225000000;-0.0015389999;0.0078369317;-0.0173894735;0.0607064757;-0.0082624808;0.0236424075
0.5250000000;-0.0014889438;0.0078708026;-0.0174603427;0.0598509447;-0.0085077179;0.0238886761
0.5275000000;-0.0014381350;0.0079047315;-0.0175315629;0.0588291740;-0.0083078307;0.0250130167
0.5300000000;-0.0013865928;0.0079387049;-0.0176030407;0.0580011904;-0.0074861179;0.0269819790
0.5325000000;-0.0013343529;0.0079727074;-0.0176746441;0.0575109080;-0.0060243896;0.0297372767
0.5350000000;-0.0012814438;0.0080067275;-0.0177462926;0.0569501144;-0.0040525870;0.0333067723
0.5375000000;-0.0012278806;0.0080407609;-0.0178179486;0.0557234183;-0.0018175084;0.0375870413
0.5400000000;-0.0011736719;0.0080748089;-0.0178895275;0.0536859106;0.0003759473;0.0422223453
0.5425000000;-0.0011188248;0.0081088752;-0.0179608542;0.0511994895;0.0022317589;0.0467874821
0.5450000000;-0.0010633407;0.0081429638;-0.0180317281;0.0484951367;0.0035647730;0.0508283819
0.5475000000;-0.0010072084;0.0081770759;-0.0181020269;0.0453130256;0.0043388532;0.0538830838
0.5500000000;-0.0009504060;0.0082112087;-0.0181717064;0.0412910874;0.0045846038;0.0557283503
0.5525000000;-0.0008929093;0.0082453564;-0.0182406544;0.0364251780;0.0043634897;0.0565351334
0.5550000000;-0.0008346974;0.0082795123;-0.0183085650;0.0310797161;0.0037942763;0.0567178270
0.5575000000;-0.0007757554;0.0083136693;-0.0183750166;0.0257174871;0.0030541919;0.0566190455
0.5600000000;-0.0007160743;0.0083478215;-0.0184396860;0.0206870889;0.0023421507;0.0563515216
0.5625000000;-0.0006556511;0.0083819668;-0.0185024730;0.0162076878;0.0018337384;0.0559112222
0.5650000000;-0.0005944929;0.0084161061;-0.0185634480;0.0124029058;0.0016458842;0.0553451161
0.5675000000;-0.0005326252;0.0084502402;-0.0186227152;0.0092799835;0.0018106245;0.0548465855
0.5700000000;-0.0004700947;0.0084843662;-0.0186803223;0.0067185866;0.0022811143;0.0546995712
0.5725000000;-0.0004069560;0.0085184777;-0.0187362843;0.0044502884;0.0029517570;0.0550420743
0.5750000000;-0.0003432513;0.0085525658;-0.0187906713;0.0020711460;0.0037081728;0.0557406916
0.5775000000;-0.0002789992;0.0085866207;-0.0188436257;-0.0007780813;0.0045064294;0.0566317076
0.5800000000;-0.0002141985;0.0086206307;-0.0188952543;-0.0042118874;0.0053502819;0.0577639537
0.5825000000;-0.0001488387;0.0086545789;-0.0189455399;-0.0080388673;0.0062004629;0.0592860351
0.5850000000;-0.0000829067;0.0086884429;-0.0189944236;-0.0118625796;0.0069835692;0.0613189979
0.5875000000;-0.0000163816;0.0087222015;-0.0190419785;-0.0154421040;0.0076771100;0.0639922297
0.5900000000;0.0000507690;0.0087558426;-0.0190884618;-0.0189504785;0.0083663458;0.0673523250
0.5925000000;0.0001185779;0.0087893629;-0.0191341731;-0.0227518396;0.0091544838;0.0711281456
0.5950000000;0.0001870604;0.0088227602;-0.0191792682;-0.0270372015;0.0099742905;0.0747262566
0.5975000000;0.0002562103;0.0088560284;-0.0192237038;-0.0316389851;0.0106180563;0.0775679077
0.6000000000;0.0003260137;0.0088891597;-0.0192673211;-0.0361054212;0.0109748332;0.0794660112
0.6025000000;0.0003964646;0.0089221488;-0.0193099750;-0.0400124923;0.0111356829;0.0807156298
0.6050000000;0.0004675643;0.0089549930;-0.0193516122;-0.0432212763;0.0112751539;0.0817599033
0.6075000000;0.0005393122;0.0089876896;-0.0193922440;-0.0459068249;0.0114665540;0.0828260135
0.6100000000;0.0006117035;0.0090202326;-0.0194318617;-0.0484552302;0.0116268843;0.0839001042
0.6125000000;0.0006847331;0.0090526132;-0.0194704221;-0.0512797050;0.0115915873;0.0847723481
0.6150000000;0.0007583978;0.0090848235;-0.0195079260;-0.0546473082;0.0112286974;0.0851002533
0.6175000000;0.0008326941;0.0091168602;-0.0195444709;-0.0586030268;0.0105710208;0.0847492765
0.6200000000;0.0009076170;0.0091487241;-0.0195801894;-0.0628933954;0.0098041598;0.0840081884
0.6225000000;0.0009831629;0.0091804155;-0.0196151498;-0.0670800357;0.0091185243;0.0833101594
0.6250000000;0.0010593307;0.0092119302;-0.0196493607;-0.0709454892;0.0086197021;0.0829302917
0.6275000000;0.0011361166;0.0092432612;-0.0196828768;-0.0746461778;0.0083032214;0.0829538736
0.6300000000;0.0012135114;0.0092744003;-0.0197158915;-0.0784340481;0.0081408293;0.0833550526
0.6325000000;0.0012915033;0.0093053384;-0.0197487415;-0.0823972021;0.0081738982;0.0840855915
0.6350000000;0.0013700826;0.0093360658;-0.0197818204;-0.0863643220;0.0084010172;0.0850132792
0.6375000000;0.0014492410;0.0093665723;-0.0198154415;-0.0899399918;0.0086960911;0.0857553678
0.6400000000;0.0015289681;0.0093968482;-0.0198497507;-0.0928383546;0.0089580500;0.0857928684
0.6425000000;0.0016092526;0.0094268886;-0.0198847701;-0.0952004365;0.0092364486;0.0848887836
0.6450000000;0.0016900852;0.0094566965;-0.0199204857;-0.0973688789;0.0096052261;0.0833208963
0.6475000000;0.0017714624;0.0094862842;-0.0199568297;-0.0995384570;0.0099628297;0.0816042653
0.6500000000;0.0018533886;0.0095156704;-0.0199935995;-0.1018353806;0.0101189343;0.0800714363
0.6525000000;0.0019358776;0.0095448782;-0.0200304675;-0.1043971067;0.0100379840;0.0787387532
0.6550000000;0.0020189528;0.0095739331;-0.0200670845;-0.1071156712;0.0098112928;0.0773317851
0.6575000000;0.0021026462;0.0096028562;-0.0201031734;-0.1096011635;0.0094905852;0.0754388899
0.6600000000;0.0021869979;0.0096316583;-0.0201385838;-0.1115655384;0.0090776219;0.0728392639
0.6625000000;0.0022720467;0.0096603371;-0.0201733118;-0.1130397570;0.0085755947;0.0696629337
0.6650000000;0.0023578099;0.0096888799;-0.0202074896;-0.1141667076;0.0080356065;0.0661716889
