Time (sec);X Position (m);Y Position (m);Z Position (m);Roll Position (rad);Pitch Position (rad);Yaw Position (rad)
0.5300000000;0.0060808986;-0.0078299256;-0.0017973444;0.0088792854;0.0397075485;-0.0657630577
0.5400000000;0.0061851595;-0.0079702402;-0.0018233718;0.0091165157;0.0402569687;-0.0670236516
0.5500000000;0.0062891221;-0.0081103046;-0.0018482097;0.0093987051;0.0408335979;-0.0682837662
0.5600000000;0.0063927869;-0.0082500960;-0.0018719565;0.0097280298;0.0414404117;-0.0695428649
0.5700000000;0.0064961544;-0.0083895882;-0.0018947478;0.0101153230;0.0420734049;-0.0708003907
0.5800000000;0.0065992254;-0.0085287522;-0.0019167774;0.0105729090;0.0427248152;-0.0720559001
0.5900000000;0.0067020006;-0.0086675565;-0.0019382962;0.0111118309;0.0433852209;-0.0733090791
0.6000000000;0.0068044807;-0.0088059677;-0.0019595975;0.0117445386;0.0440432756;-0.0745593686
0.6100000000;0.0069066664;-0.0089439511;-0.0019810100;0.0124870376;0.0446852799;-0.0758056529
0.6200000000;0.0070085583;-0.0090814712;-0.0020028995;0.0133563341;0.0452948061;-0.0770465737
0.6300000000;0.0071101571;-0.0092184919;-0.0020256669;0.0143647834;0.0458548479;-0.0782810691
0.6400000000;0.0072114637;-0.0093549775;-0.0020497335;0.0155168732;0.0463506931;-0.0795083284
0.6500000000;0.0073124793;-0.0094908927;-0.0020755203;0.0168107468;0.0467716548;-0.0807274068
0.6600000000;0.0074132051;-0.0096262031;-0.0021034362;0.0182427287;0.0471145926;-0.0819373551
0.6700000000;0.0075136424;-0.0097608757;-0.0021338750;0.0198098506;0.0473853888;-0.0831376041
0.6800000000;0.0076137926;-0.0098948788;-0.0021672133;0.0215083758;0.0475937456;-0.0843277825
0.6900000000;0.0077136574;-0.0100281827;-0.0022038059;0.0233338614;0.0477469498;-0.0855072278
0.7000000000;0.0078132383;-0.0101607599;-0.0022439784;0.0252832879;0.0478481855;-0.0866749184
